# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 0
# model = altermu_model
# start_datetime = 2023-10-09 20:37:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = ../../programs/STAN/altermu/altermu.data.R
# init = 2 (Default)
# random
#   seed = 491906840 (Default)
# output
#   file = altermu.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3
# Adaptation terminated
# Step size = 0.0442594
# Diagonal elements of inverse mass matrix:
# 0.570695, 1.25469, 1.97845
-76.7792,0.777899,0.0442594,5,63,0,80.3838,-0.531988,-1.122,1.43149
-76.1222,0.982843,0.0442594,6,63,0,77.23,-0.903716,-0.164565,-0.00283496
-80.8923,0.948204,0.0442594,6,63,0,81.8878,-1.36209,-0.544883,1.9885
-76.5604,0.855577,0.0442594,6,127,0,81.8597,-1.35812,-0.301385,0.818625
-80.3083,0.987175,0.0442594,6,63,0,80.4767,-1.80222,-0.402436,1.94081
-76.4556,0.684034,0.0442594,7,127,0,81.5663,-0.569942,-0.902932,1.12747
-76.0026,0.999699,0.0442594,6,75,0,77.3689,-0.374288,0.468014,-0.924622
-75.6744,0.998075,0.0442594,5,63,0,77.0972,-0.500684,0.0576239,-0.450508
-75.8208,0.999172,0.0442594,6,127,0,76.4391,0.141731,1.00084,0.135431
-76.3211,0.968697,0.0442594,6,127,0,77.3016,1.25979,0.311852,0.900092
-76.2426,0.999368,0.0442594,7,127,0,76.5144,1.35447,0.213256,0.556913
-76.8555,0.992894,0.0442594,7,127,0,79.6624,0.403169,1.36213,1.35454
-76.4555,0.978819,0.0442594,6,63,0,77.369,0.324933,1.33643,0.951102
-77.4748,0.899102,0.0442594,6,127,0,82.1282,-0.766711,0.665463,-1.75787
-77.1882,0.998711,0.0442594,6,127,0,79.1006,-1.06454,-0.562393,1.5865
-76.4605,0.914516,0.0442594,5,39,0,78.7697,-0.980126,-0.553782,1.27695
-76.9672,0.984144,0.0442594,5,31,0,77.0283,-1.17661,-0.517591,1.41068
-78.0864,0.894526,0.0442594,4,31,0,78.9007,-1.22811,-0.578527,1.60684
-78.5889,0.697577,0.0442594,5,31,0,82.0519,-0.565144,-1.1309,1.80895
-79.3355,0.998629,0.0442594,5,47,0,80.4319,-0.626347,-1.27132,1.9296
-78.8263,1,0.0442594,2,3,0,79.3269,-0.602164,-1.23902,1.92746
