model,time,value,c,d
soga_bernoulli15_discrete,3.467,,1,2
soga_surveyunbias15_discrete,3.351,,1,4
soga_randomwalk11_discrete,4.376,0.0,2048,1
soga_bernoulli11_discrete,2.614,,1,2
soga_surveyunbias9_discrete,2.286,,1,4
soga_surveyunbias11_discrete,2.596,,1,4
soga_bernoulli1_discrete,0.629,,3,2
soga_surveyunbias7_discrete,1.870,,1,4
soga_surveyunbias13_discrete,3.029,,1,4
soga_randomwalk9_discrete,2.980,0.0,512,1
soga_bernoulli13_discrete,2.817,,1,2
soga_surveyunbias1_discrete,0.650,,2,3
soga_randomwalk13_discrete,8.289,0.0,8192,1
soga_randomwalk5_discrete,1.439,0.0,32,1
soga_randomwalk1_discrete,0.602,0.0,2,1
soga_bernoulli9_discrete,2.152,,1,2
soga_bernoulli3_discrete,1.013,,1,2
soga_randomwalk15_discrete,23.759,0.0,32768,1
soga_surveyunbias3_discrete,1.041,,3,4
soga_surveyunbias5_discrete,1.411,,1,4
soga_bernoulli7_discrete,1.724,,1,2
soga_bernoulli5_discrete,1.363,,1,2
soga_randomwalk7_discrete,2.008,0.0,128,1
soga_randomwalk3_discrete,0.945,0.0,8,1
soga_bernoulli15_continuous,148.609,,34697,2
soga_randomwalk11_continuous,5.177,0.0,2048,1
soga_bernoulli11_continuous,15.877,,3672,2
soga_surveyunbias9_continuous,10.455,,1948,4
soga_surveyunbias11_continuous,29.781,,6975,4
soga_bernoulli1_continuous,0.783,,4,2
soga_surveyunbias7_continuous,4.598,,511,4
soga_surveyunbias13_continuous,93.975,,21421,4
soga_randomwalk9_continuous,3.201,0.0,512,1
soga_bernoulli13_continuous,46.465,,12445,2
soga_surveyunbias1_continuous,0.862,,8,3
soga_randomwalk13_continuous,11.775,0.0,8192,1
soga_randomwalk5_continuous,1.725,0.0,32,1
soga_randomwalk1_continuous,0.673,0.0,2,1
soga_bernoulli9_continuous,6.319,,1024,2
soga_bernoulli3_continuous,1.488,,16,2
soga_randomwalk15_continuous,35.735,0.0,32768,1
soga_surveyunbias3_continuous,1.654,,32,4
soga_surveyunbias5_continuous,2.540,,128,4
soga_bernoulli7_continuous,3.487,,256,2
soga_bernoulli5_continuous,2.265,,64,2
soga_randomwalk7_continuous,2.293,0.0,128,1
soga_randomwalk3_continuous,1.286,0.0,8,1
psi_bernoulli1_discrete,2.9105639457702637,0.416667
psi_randomwalk5_discrete,2.76077938079834,0.
psi_randomwalk7_discrete,2.7378017902374268,0.
psi_bernoulli11_discrete,4.597262382507324,0.75
psi_bernoulli7_discrete,3.7090840339660645,0.75
psi_bernoulli3_discrete,2.9015629291534424,0.75
psi_bernoulli13_discrete,5.096272706985474,0.75
psi_randomwalk11_discrete,2.7857868671417236,0.
psi_randomwalk3_discrete,2.651843309402466,0.
psi_randomwalk13_discrete,2.7660155296325684,0.
psi_randomwalk15_discrete,2.8597116470336914,0.
psi_bernoulli9_discrete,4.035712480545044,0.75
psi_bernoulli5_discrete,3.2052524089813232,0.75
psi_bernoulli15_discrete,5.726627588272095,0.75
psi_randomwalk9_discrete,2.848235845565796,0.
psi_randomwalk1_discrete,2.6930246353149414,0.
psi_bernoulli1_continuous,2.806212902069092,0.333333
psi_randomwalk5_continuous,2.6642370223999023,0.
psi_randomwalk7_continuous,2.8020663261413574,0.
psi_bernoulli11_continuous,3.6188535690307617,0.307692
psi_bernoulli7_continuous,3.086669445037842,0.222222
psi_bernoulli3_continuous,2.9893150329589844,0.4
psi_bernoulli13_continuous,3.7857582569122314,0.333333
psi_randomwalk11_continuous,2.9239704608917236,0.
psi_randomwalk3_continuous,2.658531427383423,0.
psi_randomwalk13_continuous,3.191743850708008,0.
psi_randomwalk15_continuous,3.429953098297119,0.
psi_bernoulli9_continuous,3.373098611831665,0.181818
psi_bernoulli5_continuous,3.0169997215270996,0.285714
psi_bernoulli15_continuous,3.82092547416687,0.352941
psi_randomwalk9_continuous,2.8245882987976074,0.
psi_randomwalk1_continuous,2.6121766567230225,0.
