model,time,value,c,d
soga_clinicaltrial_k=0.00725c,30.229,0.74395,45,5
soga_clickgraph_k=0.00725c,55.139,0.62776,35,6
soga_radarquery_k=0.00725c,2.256,6.03943,12,8
soga_bernoulli_k=0.00725c,0.304,0.25689,15,2
soga_clinicaltrial_k=0.015c,49.722,0.73963,89,5
soga_clickgraph_k=0.015c,110.999,0.5975,69,6
soga_radarquery_k=0.015c,3.771,5.75695,15,8
soga_bernoulli_k=0.015c,0.562,0.2569,30,2
soga_clinicaltrial_k=0.003625c,7.760,0.80058,23,5
soga_clickgraph_k=0.003625c,31.689,0.61545,18,6
soga_radarquery_k=0.003625c,1.259,5.70399,6,8
soga_bernoulli_k=0.003625c,0.179,0.25683,8,2
