# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples/bernoulli/bernoulli.data.R
# init = 2 (Default)
# random
#   seed = 452851722 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file = text.txt
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,p_theta,g_theta
-6.9033,1,1.14303,2,3,0,8.00868,-1.48283,-2.34527,-0.779992
-6.97548,0.844674,1.14303,2,3,0,8.36063,-1.56725,2.62534,-0.928696
-7.90672,0.885944,1.14303,2,3,0,8.43936,-0.147949,-1.628,2.55696
-8.53747,0.780321,1.14303,1,1,0,8.90905,0.0707348,1.35977,3.21212
-7.11928,1,1.14303,1,1,0,8.04335,-0.547585,-2.14433,1.3971
-6.79748,1,1.14303,1,1,0,7.01031,-0.892407,-1.02909,0.487359
-6.96226,0.766502,1.14303,2,3,0,7.85159,-0.676288,2.10363,1.04508
-7.9001,0.706189,1.14303,1,1,0,7.91973,-0.150542,0.312547,2.54922
-6.79799,0.821104,1.14303,2,3,0,8.80228,-1.31327,-3.15805,-0.456722
-7.25251,0.915166,1.14303,1,3,0,7.27507,-1.81284,0.335013,-1.31645
-7.9207,0.892427,1.14303,1,1,0,7.92443,-2.23279,-0.136271,-1.83787
-9.55419,0.855368,1.14303,2,3,0,10.3827,-2.98811,-2.03042,-2.42441
-9.17455,1,1.14303,1,1,0,9.74125,-2.8285,-1.67926,-2.33036
-6.85159,1,1.14303,2,3,0,8.54007,-0.802258,2.89859,0.714512
-6.85228,0.999767,1.14303,1,1,0,6.88568,-0.801292,-0.407667,0.71699
-6.8579,0.998106,1.14303,1,1,0,6.89075,-0.793561,0.404294,0.736856
-7.30445,0.927881,1.14303,2,3,0,7.3097,-1.85148,0.161705,-1.3716
-7.14029,1,1.14303,2,3,0,7.32365,-1.72307,0.955191,-1.18228
-6.76315,1,1.14303,1,3,0,7.07739,-1.21573,1.25045,-0.25574
-7.12079,0.92365,1.14303,1,3,0,7.15409,-1.70639,0.407086,-1.1564
-6.75421,0.995053,1.14303,2,3,0,7.14211,-1.17325,-1.38931,-0.164793
-6.74926,0.998941,1.14303,2,3,0,6.76126,-1.13188,-0.244401,-0.0742337
-6.99764,0.914774,1.14303,2,3,0,7.23207,-0.643798,-1.08006,1.13266
-6.76919,0.999725,1.14303,2,3,0,7.02323,-1.23741,-1.12432,-0.301357
-6.8073,0.996271,1.14303,2,3,0,6.80791,-0.873188,0.0549554,0.535097
-6.87701,0.85175,1.14303,2,3,0,7.49377,-1.44768,-1.75185,-0.715694
-7.53089,0.841543,1.14303,1,3,0,7.86479,-0.31022,-1.28898,2.07673
-7.24601,1,1.14303,1,1,0,7.56895,-0.463904,-1.26764,1.63272
-6.75385,1,1.14303,1,3,0,7.10373,-1.02709,1.31947,0.163791
-7.69354,0.614943,1.14303,2,3,0,9.22238,-2.10431,2.75817,-1.69586
-6.76977,1,1.14303,2,3,0,7.4923,-0.961124,-1.89612,0.319839
-6.82959,0.980924,1.14303,1,1,0,6.83108,-0.834961,0.0861065,0.631164
-8.85091,0.634879,1.14303,2,3,0,8.87162,-2.68678,-0.320994,-2.2349
-7.07359,1,1.14303,1,3,0,8.70401,-1.66437,-2.84831,-1.08989
-6.79356,0.959804,1.14303,2,3,0,7.25741,-0.900604,1.51923,0.467116
-7.44278,0.747214,1.14303,2,3,0,8.22288,-1.94769,-1.97022,-1.50233
-6.88615,1,1.14303,2,3,0,7.28114,-0.757508,1.40196,0.830252
-6.77064,1,1.14303,2,3,0,6.87308,-1.24216,0.713958,-0.311273
-7.07736,0.940091,1.14303,2,3,0,7.22253,-0.578536,-0.849904,1.31123
-6.7849,1,1.14303,1,1,0,6.97914,-0.920156,0.983119,0.419113
-6.9637,0.788546,1.14303,2,3,0,7.74174,-0.674913,1.96761,1.04877
-7.23538,0.906405,1.14303,1,1,0,7.28119,-0.470453,-0.477445,1.61411
-6.7547,1,1.14303,1,3,0,7.09484,-1.02207,1.30098,0.175498
-6.74846,1,1.14303,2,3,0,6.75445,-1.11844,0.172565,-0.0443984
-6.83429,0.936322,1.14303,2,3,0,7.09462,-1.3824,1.13817,-0.592519
-6.83429,0.917831,1.14303,1,3,0,7.22074,-1.3824,1.38672,-0.592519
-7.16767,0.909489,1.14303,1,3,0,7.3842,-0.514068,-1.03801,1.49088
-6.86912,1,1.14303,2,3,0,7.10452,-1.4365,1.08228,-0.69494
-6.81381,0.916642,1.14303,2,3,0,7.60449,-1.34564,-1.98353,-0.52099
-6.91276,0.975627,1.14303,1,1,0,6.91634,-1.49479,-0.133444,-0.801562
-7.6531,0.925347,1.14303,2,3,0,7.84856,-0.253634,0.986196,2.24315
-7.49886,0.658734,1.14303,1,3,0,9.16761,-1.98443,2.88161,-1.54984
-7.77707,0.956967,1.14303,1,1,0,7.85795,-2.15278,0.63437,-1.75114
-7.10777,1,1.14303,2,3,0,7.65296,-1.69505,1.64707,-1.13864
-7.65886,0.90188,1.14303,1,1,0,7.66127,-2.08372,-0.109404,-1.67173
-9.59952,0.807883,1.14303,1,3,0,9.67623,-3.00677,0.617792,-2.43455
-10.1316,0.966053,1.14303,1,1,0,10.3269,-3.22058,0.985812,-2.53922
-8.79627,1,1.14303,1,1,0,10.0347,-2.66223,-2.48245,-2.21713
-7.71653,1,1.14303,1,1,0,8.65689,-2.11781,-2.16315,-1.71147
-8.74594,0.958002,1.14303,2,3,0,8.74894,-2.63945,0.122067,-2.20029
-6.78587,1,1.14303,2,3,0,8.2556,-0.917866,-2.70432,0.424715
-7.59076,0.810698,1.14303,1,3,0,7.59527,-0.281953,0.149868,2.1597
-8.68277,0.652106,1.14303,1,1,0,8.90326,0.115054,-1.04744,3.34478
-6.74892,1,1.14303,1,3,0,8.17855,-1.12687,-2.66717,-0.0631341
-6.77074,0.993848,1.14303,1,3,0,6.77728,-0.958135,0.180386,0.327022
-6.77712,0.997978,1.14303,1,1,0,6.78309,-0.939841,-0.172321,0.371189
-6.77712,0.920559,1.14303,1,3,0,7.08935,-0.939841,1.24645,0.371189
-6.91123,0.951682,1.14303,1,3,0,7.02356,-1.49287,0.747632,-0.79811
-6.75259,0.953682,1.14303,2,3,0,7.33233,-1.16269,-1.69846,-0.141852
-6.76238,0.994713,1.14303,2,3,0,6.78498,-1.2127,0.335294,-0.249307
-6.7596,0.931521,1.14303,2,3,0,7.13509,-0.997993,1.36689,0.232034
-6.89909,0.966031,1.14303,1,3,0,6.89979,-0.742285,0.0593409,0.870055
-6.80994,0.820832,1.14303,2,3,0,7.63213,-0.868313,2.02267,0.547265
-7.07167,0.914513,1.14303,1,1,0,7.07462,-0.582902,0.121257,1.29918
-7.07167,0.46293,1.14303,1,1,0,8.33973,-0.582902,2.51193,1.29918
-7.62907,0.811736,1.14303,1,1,0,7.69449,-0.264426,0.570581,2.21131
-7.12777,0.906701,1.14303,2,3,0,8.36927,-1.7124,-2.48549,-1.16576
-6.91006,1,1.14303,2,3,0,7.08599,-1.49141,-0.935637,-0.795485
-6.75908,0.971899,1.14303,2,3,0,7.07521,-1.00025,-1.25422,0.226701
-7.2918,0.647348,1.14303,2,3,0,8.66922,-1.84221,2.61801,-1.35851
-7.51361,0.961487,1.14303,1,1,0,7.57718,-1.99391,0.562421,-1.56188
-6.76329,0.89791,1.14303,2,3,0,8.21894,-0.983224,-2.69133,0.26703
-6.853,0.969411,1.14303,1,3,0,6.91669,-1.41252,-0.562968,-0.649951
-6.77289,1,1.14303,2,3,0,6.83187,-1.24919,-0.541768,-0.325923
-6.75951,0.967972,1.14303,2,3,0,6.97905,-1.20054,-1.04518,-0.223445
-7.44482,0.852327,1.14303,1,3,0,7.56385,-1.94904,0.769626,-1.50411
-6.75235,0.999881,1.14303,2,3,0,7.40151,-1.161,-1.79727,-0.138173
-6.75515,0.999734,1.14303,2,3,0,6.75593,-1.17877,-0.0623158,-0.176725
-6.75592,0.937517,1.14303,2,3,0,7.08668,-1.0154,-1.2829,0.191098
